Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
src/zserio/AllocatorHolder.h                                      17                 0   100.00%          14                 0   100.00%          31                 0   100.00%           0                 0         -
src/zserio/Any.h                                                 108                 0   100.00%          60                 0   100.00%         277                 0   100.00%          34                 0   100.00%
src/zserio/ArrayTraits.h                                          15                 1    93.33%          15                 1    93.33%          45                 3    93.33%           0                 0         -
src/zserio/ArrayView.h                                           130                13    90.00%          56                 3    94.64%         293                24    91.81%          42                11    73.81%
src/zserio/BitBuffer.h                                           114                 5    95.61%          36                 5    86.11%         189                14    92.59%          48                 0   100.00%
src/zserio/BitFieldUtil.cpp                                       15                 0   100.00%           3                 0   100.00%          28                 0   100.00%          10                 0   100.00%
src/zserio/BitPositionUtil.h                                       6                 0   100.00%           1                 0   100.00%           5                 0   100.00%           4                 1    75.00%
src/zserio/BitStreamReader.cpp                                   292                 0   100.00%          40                 0   100.00%         516                 2    99.61%         182                 2    98.90%
src/zserio/BitStreamReader.h                                      49                 0   100.00%          24                 0   100.00%         138                 0   100.00%          14                 1    92.86%
src/zserio/BitStreamWriter.cpp                                   140                 0   100.00%          34                 0   100.00%         261                 0   100.00%          82                 1    98.78%
src/zserio/BitStreamWriter.h                                      38                 0   100.00%          23                 0   100.00%         102                 0   100.00%           8                 0   100.00%
src/zserio/Bitmasks.h                                              5                 0   100.00%           5                 0   100.00%          18                 0   100.00%           0                 0         -
src/zserio/BuiltInOperators.cpp                                    6                 0   100.00%           1                 0   100.00%          14                 0   100.00%           4                 0   100.00%
src/zserio/BuiltInOperators.h                                      3                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
src/zserio/Bytes.cpp                                               3                 2    33.33%           3                 2    33.33%           9                 5    44.44%           0                 0         -
src/zserio/Bytes.h                                                 6                 3    50.00%           6                 3    50.00%          18                 9    50.00%           0                 0         -
src/zserio/CppRuntimeException.cpp                                18                 0   100.00%          10                 0   100.00%          52                 0   100.00%           6                 0   100.00%
src/zserio/CppRuntimeException.h                                   8                 0   100.00%           8                 0   100.00%          20                 0   100.00%           0                 0         -
src/zserio/DataView.h                                             16                 0   100.00%           6                 0   100.00%          24                 0   100.00%           0                 0         -
src/zserio/DebugStringUtil.h                                      29                 1    96.55%          21                 0   100.00%          84                 3    96.43%           6                 1    83.33%
src/zserio/DeltaContext.h                                         97                12    87.63%          43                 6    86.05%         243                26    89.30%          42                10    76.19%
src/zserio/Enums.h                                                12                 0   100.00%           9                 0   100.00%          40                 0   100.00%           2                 0   100.00%
src/zserio/Extended.h                                             36                 3    91.67%          18                 0   100.00%          68                 3    95.59%          14                 6    57.14%
src/zserio/FileUtil.cpp                                           19                 4    78.95%           2                 0   100.00%          38                12    68.42%          12                 4    66.67%
src/zserio/FileUtil.h                                              2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
src/zserio/FloatUtil.cpp                                          35                 0   100.00%           6                 0   100.00%         119                 0   100.00%          22                 0   100.00%
src/zserio/GenericAccessor.h                                       3                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
src/zserio/HashCodeUtil.h                                         18                 9    50.00%          14                 6    57.14%          64                33    48.44%           8                 6    25.00%
src/zserio/IIntrospectableData.h                                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
src/zserio/IIntrospectableView.h                                   2                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
src/zserio/IReflectableData.h                                      3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
src/zserio/ITypeInfo.h                                            22                 0   100.00%           4                 0   100.00%          24                 0   100.00%           0                 0         -
src/zserio/IWalkFilter.h                                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
src/zserio/IWalkObserver.h                                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
src/zserio/IntrospectableDataBase.h                               33                 1    96.97%          32                 1    96.88%          97                 3    96.91%           0                 0         -
src/zserio/IntrospectableView.h                                  192                12    93.75%         117                 1    99.15%         406                17    95.81%          26                 8    69.23%
src/zserio/JsonDecoder.h                                         163                 0   100.00%          16                 0   100.00%         283                 0   100.00%         124                 0   100.00%
src/zserio/JsonEncoder.cpp                                        43                 0   100.00%           4                 0   100.00%          89                 0   100.00%          30                 0   100.00%
src/zserio/JsonEncoder.h                                           1                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
src/zserio/JsonParser.h                                           68                 0   100.00%          16                 0   100.00%         153                 0   100.00%          38                 0   100.00%
src/zserio/JsonReader.h                                          216                 0   100.00%          47                 0   100.00%         446                 0   100.00%         106                 0   100.00%
src/zserio/JsonTokenizer.cpp                                      11                 0   100.00%           1                 0   100.00%          25                 0   100.00%          20                 0   100.00%
src/zserio/JsonTokenizer.h                                        68                 0   100.00%          14                 0   100.00%         150                 0   100.00%          46                 0   100.00%
src/zserio/JsonWriter.h                                          116                 0   100.00%          28                 0   100.00%         277                 0   100.00%          90                 0   100.00%
src/zserio/Optional.h                                            166                 2    98.80%          73                 0   100.00%         348                 7    97.99%          64                18    71.88%
src/zserio/ReflectableData.h                                     253                 2    99.21%         174                 0   100.00%         603                 0   100.00%          28                 0   100.00%
src/zserio/ReflectableUtil.h                                     108                 1    99.07%           9                 0   100.00%         149                 3    97.99%         106                 1    99.06%
src/zserio/SerializeUtil.h                                        23                 0   100.00%          23                 0   100.00%         100                 0   100.00%           0                 0         -
src/zserio/SizeConvertUtil.cpp                                     5                 0   100.00%           2                 0   100.00%          13                 0   100.00%           2                 0   100.00%
src/zserio/Span.h                                                 45                 0   100.00%          31                 0   100.00%          85                 0   100.00%           2                 0   100.00%
src/zserio/SqliteConnection.h                                     22                 0   100.00%           9                 0   100.00%          55                 0   100.00%          10                 0   100.00%
